comment,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation,dominant_bias
You should know women's sports are a joke,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gender
You look like Russian and speak like Indian. Both are disgusting go kill yourself,1.0,0.5,0.142857143,0.142857143,0.714285714,0.0,0.0,0.0,gender
"Women deserve to be abused, I guess.",0.666666667,0.166666667,1.0,0.0,0.0,0.0,0.0,0.0,gender
Women are made for making babies and cooking dinner and nothing else!!!,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gender
Why don’t you go beck your god to murder you? Christianity is a joke,0.833333333,0.5,0.0,0.0,0.0,0.0,1.0,0.0,religion
why does that african american monkey hold gun like that?,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,race
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,race
who gives aa fuck about shit diamonds from the jews fuck them both,0.75,0.0,0.0,0.25,0.0,0.0,0.75,0.0,religion
Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,0.833333333,0.833333333,0.0,0.0,0.0,0.0,1.0,0.0,religion
white people are shit human beings,0.166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,race
what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,gender
What about a global massacre of men? Pussiezzz only girls,0.833333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,gender
what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,0.0,0.75,0.2,0.2,0.0,0.0,0.6,0.0,religion
well it's clear now why europeans can't differ niggers and shitskins from human,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,race
"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",0.0,0.166666667,0.0,0.0,0.5,0.0,0.5,0.0,religion
"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",0.166666667,0.0,0.0,0.0,0.25,0.0,0.75,0.0,religion
